,player,player_link,number,class,pos,height,weight,hometown,high_school,rsci,summary,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-09,Kansas,,TCU,REG,W,0,25,3,5,.600,2,3,.667,1,2,.500,0,0,,1,3,4,1,2,1,0,2,7
1,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-12,Kansas,@,Baylor,REG,W,0,21,4,5,.800,3,3,1.000,1,2,.500,1,2,.500,1,2,3,0,1,0,0,2,10
2,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-14,Kansas,,Texas,REG,W,0,25,2,5,.400,2,3,.667,0,2,.000,0,0,,0,4,4,2,1,0,0,1,4
3,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-19,Kansas,@,West Virginia,REG,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,3,0,0
4,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-21,Kansas,,Iowa State,REG,W,0,16,3,6,.500,1,2,.500,2,4,.500,0,0,,1,4,5,0,0,1,2,5,8
5,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-26,Kansas,@,Kentucky,REG,L,0,22,2,6,.333,1,2,.500,1,4,.250,2,2,1.000,2,0,2,0,0,0,1,0,7
6,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-01-29,Kansas,@,Texas,REG,L,1,35,8,10,.800,6,6,1.000,2,4,.500,6,8,.750,4,3,7,0,2,1,2,4,24
7,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-02-02,Kansas,,Texas Tech,REG,W,1,33,3,8,.375,2,4,.500,1,4,.250,3,6,.500,1,9,10,3,1,0,2,3,10
8,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-02-05,Kansas,@,Kansas State,REG,L,1,35,3,7,.429,3,5,.600,0,2,.000,0,2,.000,1,3,4,0,1,1,4,3,6
9,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-02-09,Kansas,,Oklahoma State,REG,W,1,36,8,12,.667,3,5,.600,5,7,.714,2,2,1.000,1,5,6,2,0,0,0,1,23
10,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-02-11,Kansas,@,TCU,REG,W,1,41,6,12,.500,4,6,.667,2,6,.333,6,6,1.000,1,10,11,1,1,1,1,0,20
